이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/06/03/SB000000000063883621_1654218960_image1_S.jpeg,하루배송,피치모어,[세트가격] 하이틴 줄지 반팔 카라 크롭니트+미니스커트 세트 투피스_피치모어,10%,"19,530원","21,700원",54개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/15/SB000000000059434654_1650008445_image1_S.jpeg,하루배송,무드모드,레시피 코튼 셔츠 원피스_무드모드,10%,"28,440원","31,600원",87개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/13/SB000000000062126978_1652435772_image1_S.jpeg,하루배송,어텀x하루배송,로지원피스_어텀_2,10%,"39,060원","43,400원",35개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/03/SB000000000063777979_1654246183_image1_S.jpeg,하루배송,유이아,[유이아pick♥] 뮤런 벌룬 스퀘어 미니 원피스 2COL_유이아,10%,"19,530원","21,700원",21개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/21/SB000000000059876121_1650505907_image1_S.jpeg,하루배송,피치모어,[여름까지쭉!] 로지 핀턱 라인 라운드 무지 미니 반팔 원피스_피치모어,10%,"23,130원","25,700원",104개 구매중,원피스
https://image.brandi.me/cproduct/2021/08/03/SB000000000035396965_1628008286_image1_S.jpeg,하루배송,슈가파우더,[소녀템] 퓨어 끈나시 스모크 롱원피스_슈가파우더,10%,"21,330원","23,700원",126개 구매중,원피스
https://image.brandi.me/cproduct/2020/07/31/17784535_1596161458_image1_M.jpg,하루배송,302호,[쿠폰][끈조절] 차르르 롱뷔스티에원피스_302호,10%,"19,530원","21,700원","3,763개 구매중",원피스
https://image.brandi.me/cproduct/2022/06/15/SB000000000065006071_1655269987_image1_S.jpeg,하루배송,쏭룸,(3color)유라 스퀘어넥 퍼프 반팔 캉캉 미디 미니 원피스 _쏭룸,10%,"23,130원","25,700원",26개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/01/SB000000000049768850_1648791911_image1_S.jpeg,하루배송,라프랑,[핏보정/4COL] 빈츠 슬림핏 쫀쫀 뷔스티에 원피스_라프랑,10%,"21,330원","23,700원",851개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/20/SB000000000065150484_1655705705_image1_S.jpeg,하루배송,앤드모어,[여신강림/핏보장!] 허리잘록~ 셔츠 뒷리본 반팔 미니원피스 (3color)_앤드모어,10%,"28,440원","31,600원",22개 구매중,원피스
